Cycle,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37
1,0.004788064,0.036444499,-0.007495593,0.073347563,-0.019761986,-0.008091759,0.093247665,0.09144955,0.097668055,0.09703122,0.08963644,0.09771301,-0.012187261,0.096941315,0.037005754,0.040458027,0.10060499,-0.000399452,-0.010927606,0.021170486,0.000378147,-0.03498053,-0.009081817,0.002015116,0.032320391,0.03549077,0.004203245,0.030420804,0.001650101,-0.005547545,0.032307276,0.006631232,0.029027779,0.006314538,0.045554294,0.04997312,0.056143742
2,0.00951285,0.035352131,-0.000503772,0.064730296,-0.008921849,-0.000430059,0.118221832,0.118421217,0.114150888,0.11126622,0.101623773,0.116193677,-0.002664032,0.107680148,0.033215279,0.035839666,0.115589323,0.004299419,-0.004418018,0.027751326,0.006158695,-0.027558329,-0.008141715,0.011647451,0.034208866,0.037165492,0.006285633,0.033743726,8.04067E-05,-0.005790403,0.03805527,0.010655477,0.025122177,0.010928091,0.049303749,0.048590136,0.054138877
3,0.018732802,0.037256596,0.013980217,0.053116028,0.014654954,0.022965474,0.160178165,0.159378217,0.142621222,0.131744887,0.123600773,0.140168343,0.009357029,0.125661482,0.032671637,0.033219139,0.13706699,0.012744123,0.009334404,0.040076333,0.023427242,-0.003403794,0.006034387,0.032268285,0.050082674,0.043835047,0.012863354,0.042061482,0.011247546,0.006703571,0.046051098,0.024170055,0.024962575,0.02752931,0.059546371,0.052201819,0.060625179
4,0.015465754,0.029671061,0.017475538,0.04150176,0.019751091,0.023384673,0.179158498,0.17536155,0.151112222,0.140735553,0.138585107,0.15964801,0.009390091,0.128658148,0.023636662,0.027601944,0.145058657,0.009201494,0.006104159,0.037916339,0.023214123,0.01026174,0.009222155,0.036406453,0.039484149,0.032023935,0.008452408,0.038391571,0.010926685,0.006210879,0.044057592,0.024697633,0.016811307,0.027148196,0.045814327,0.042327502,0.054624481
5,0.002209039,0.017590193,0.012479526,0.024393159,0.015357228,0.016811206,0.186650498,0.17835855,0.150612555,0.137738887,0.142581107,0.16264501,0.001431819,0.123163815,0.00760902,0.016990083,0.147056657,0.001662864,0.002874247,0.02526768,0.019005004,0.011440275,0.007414924,0.027558288,0.025389291,0.014219157,-0.002951204,0.02323366,0.008608157,0.002221854,0.031575086,0.016234878,0.006162372,0.021772082,0.024589949,0.024461519,0.036136783
6,0.001439658,0.015998325,0.016474181,0.014277558,0.019954032,0.016730739,0.205131165,0.19584055,0.159103555,0.138737887,0.150572773,0.17812901,0.006459881,0.133153148,0.006066045,0.018865222,0.162540323,0.010607235,0.016626335,0.02560502,0.022787552,0.01961181,0.015098026,0.029199122,0.022283099,0.012397712,-0.001368483,0.013569749,0.010784629,0.003227495,0.026584247,0.018760456,0.007501103,0.022389635,0.015852571,0.014587535,0.023143418
7,-0.007821057,0.00341779,0.009480503,-0.009324376,0.008567169,0.002665272,0.202633832,0.198837217,0.153609555,0.132244553,0.13858544,0.174133343,-0.005494058,0.123163815,-0.013957597,-0.001236639,0.16104199,0.002069606,0.015893756,0.010458693,0.015581433,0.012299344,0.010294127,0.013857623,0.005690907,0.0005866,-0.008776429,0.000909171,0.005469101,-0.00176053,0.009106407,0.005303034,-0.000150498,0.012518187,0.000621859,-0.000281449,0.002158053
8,-0.005593438,0.001326255,0.009979157,-0.021437977,0.009667306,8.78046E-05,0.211125165,0.210325217,0.156606555,0.133243553,0.14607744,0.189117677,-0.000465996,0.134651815,-0.010505572,0.000138833,0.16753499,0.004520643,0.019156845,0.007799366,0.016866648,0.017973546,0.013981562,0.012002124,0.002085382,-0.007228511,-0.014685708,-0.00775574,0.010142907,0.002242111,0.002617235,0.001834945,-0.0003101,0.00664274,-0.008115519,-0.002663432,-0.006340311
9,-0.005863486,-0.005759946,0.008479812,-0.033052245,0.006272109,-0.006485329,0.207628832,0.21382155,0.155108222,0.137738553,0.150572773,0.197608677,-0.006426601,0.132154482,-0.015045214,-0.006976695,0.17053199,0.000977681,0.015426933,-0.00135296,0.009660529,0.014157414,0.012174664,0.002154959,-0.005516143,-0.015043956,-0.016598987,-0.013423318,0.010821046,0.002248753,-0.006868604,-0.005129143,-0.001968368,0.003764293,-0.020349564,-0.010040416,-0.016836343
10,-0.008131201,-0.012846148,0.005981467,-0.037673512,0.008870913,-0.00406813,0.218117832,0.22431055,0.159103888,0.142733553,0.161561107,0.212093343,0.000599127,0.145640482,-0.006098856,-0.000106889,0.18201999,0.004427718,0.018690021,-0.001015287,0.010945743,0.016834615,0.014862766,-0.001198873,-0.008622335,-0.021360735,-0.015515266,-0.022087895,0.011998518,0.003754061,-0.00986111,-0.002603232,-0.002627637,0.001385179,-0.031084942,-0.016917399,-0.028331374
11,-0.016392916,-0.027924016,-0.004009211,-0.051785113,-0.001516617,-0.014637264,0.219116832,0.22630855,0.156606555,0.142233887,0.157065773,0.211593677,-0.006859811,0.140146148,-0.014135164,-0.014714417,0.180521657,-0.004609577,0.007468109,-0.012165947,0.003739624,0.00752415,0.007561201,-0.013543705,-0.01922086,-0.02917618,-0.000945878,-0.028754473,0.00568399,-0.000734631,-0.020845616,-0.007569654,-0.009280239,-0.004989602,-0.046315653,-0.027790383,-0.041324739
12,-0.02465463,-0.039006217,-0.014998556,-0.060902048,-0.010905146,-0.020211731,0.224611165,0.23280155,0.156606555,0.143232887,0.158564107,0.214091343,-0.008325083,0.139147148,-0.018175473,-0.025326278,0.178024323,-0.01464554,-0.00375347,-0.02281694,-0.004964495,-0.002285649,0.000759303,-0.026887204,-0.034814051,-0.039488625,0.00113651,-0.037419384,-0.003627537,-0.002725657,-0.027834122,-0.011037742,-0.01793084,-0.015860049,-0.057550364,-0.034168033,-0.051821104
13,-0.025923678,-0.044094419,-0.022491902,-0.065024315,-0.017796343,-0.022789531,0.233601832,0.241292883,0.163099888,0.147228553,0.159063773,0.219086343,-0.003297021,0.139147148,-0.022215781,-0.035438806,0.177524657,-0.020186169,-0.014975381,-0.0349666,-0.01316928,-0.007600114,-0.008539929,-0.033737703,-0.04291491,-0.042808736,0.008213564,-0.042587961,-0.011440732,-0.005715682,-0.035821628,-0.016004164,-0.022585775,-0.021236163,-0.063291076,-0.038048684,-0.060319135
14,-0.01720306,-0.03869362,-0.021993247,-0.056159916,-0.015197539,-0.015377665,0.245589165,0.256277217,0.179582555,0.16570922,0.17205044,0.23207301,0.00872404,0.148137815,-0.014268423,-0.034562667,0.189012657,-0.013239798,-0.013710293,-0.037625927,-0.016878733,-0.00342458,-0.009847494,-0.031597202,-0.044522768,-0.039135848,0.009796285,-0.036767872,-0.01226126,-0.005709041,-0.0373158,-0.015975586,-0.01675171,-0.018620611,-0.04655512,-0.037933334,-0.061325167
15,-0.010480441,-0.034291822,-0.019996259,-0.047794851,-0.013597736,-0.008465466,0.262071832,0.270262883,0.194566888,0.17919522,0.179542773,0.245059343,0.027238102,0.158127482,-0.009318065,-0.028691862,0.201499323,-0.007292428,-0.011446205,-0.040285253,-0.017092185,0.003248288,-0.014152059,-0.029457034,-0.043133626,-0.034963626,0.014376006,-0.030448117,-0.012082454,-0.003704399,-0.041806973,-0.020942008,-0.015412979,-0.016504391,-0.028820165,-0.037318651,-0.064328865
