Cycle,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48
1,0.35502419,0.44454509,0.44659543,0.216926261,0.40366331,0.50537022,0.177067247,0.230752405,0.127723191,0.202177376,0.46368506,0.292120364,0.276474487,0.254381351,0.59261698,0.47303282,0.5153713,0.283171855,0.45352088,0.272159489,0.33072655,0.44949351,0.179197114,0.259735484,0.113664148,0.166938681,0.178246253,0.42736557,0.37951387,0.31846607,0.28993328,0.21904746,0.52899801,0.42654855,0.29801745,0.5178233,0.54665332,0.245767696,0.34355085,0.54741122,0.48440175,0.52000759,0.492054,0.4133517,0.49823696,0.53614654,0.39269551,0.147858536
2,0.346602857,0.416557423,0.433468263,0.199707824,0.401681643,0.49496772,0.164934746,0.21418298,0.095200415,0.204777159,0.452044227,0.276492536,0.264699089,0.247100619,0.56958298,0.45668582,0.4935753,0.245595296,0.44088938,0.25462796,0.32824955,0.446025843,0.188178651,0.262938891,0.119972245,0.17183589,0.177401073,0.442226237,0.392393203,0.332336237,0.316435113,0.220781293,0.514137343,0.426548383,0.30420945,0.524015133,0.54813932,0.243049089,0.342064683,0.545677387,0.47969575,0.517283257,0.482146833,0.4140947,0.485110127,0.527725373,0.384522177,0.150268191
3,0.32381619,0.350179423,0.39284893,0.146080388,0.392764977,0.46326472,0.138684577,0.175322221,0.04088214,0.194002276,0.421331893,0.233867708,0.22369769,0.218271887,0.508158647,0.41408482,0.446020633,0.169133236,0.40225138,0.215795764,0.298032883,0.41779051,0.191710854,0.25252013,0.130738508,0.180200433,0.168382393,0.45659157,0.401805203,0.35759957,0.355073113,0.201462293,0.468564343,0.425062383,0.301732783,0.5180708,0.533278653,0.226212815,0.337111017,0.533293387,0.455918417,0.496478257,0.4553975,0.408150367,0.456379127,0.511378707,0.35182851,0.139550846
4,0.264372857,0.244172757,0.304675263,0.058768617,0.36007131,0.410261387,0.113425076,0.107730795,0.01975253,0.150533726,0.360402893,0.157558546,0.158918958,0.162198155,0.430387313,0.34919282,0.373202967,0.06740751,0.327947713,0.149223901,0.225710217,0.345468177,0.162549723,0.204454037,0.131597772,0.169246309,0.155401046,0.42736557,0.368616203,0.34521557,0.340212447,0.144991293,0.385839677,0.393359383,0.277460117,0.478937467,0.49018232,0.182131875,0.310857017,0.499609053,0.405887083,0.464280257,0.390505833,0.374961367,0.41526446,0.484629373,0.298329843,0.107037501
5,0.186601523,0.158475423,0.202136263,-0.02210382,0.292702643,0.31812472,0.053985908,0.010417703,0.003576921,0.070408843,0.269256893,0.046078718,0.047081227,0.065009756,0.312987313,0.240709487,0.270663967,-0.039767216,0.218968713,0.050453372,0.14595755,0.229059177,0.095245593,0.119236277,0.105707702,0.134514518,0.112698366,0.376839237,0.298275203,0.314503237,0.28968578,0.098427627,0.264476677,0.338374717,0.21702645,0.413550133,0.421822987,0.115759934,0.259339683,0.435212387,0.318704083,0.40830459,0.290938833,0.3160137,0.360774793,0.445000707,0.212632843,0.046288822
6,0.122204857,0.10448109,0.127832263,-0.075731256,0.201556643,0.208155053,-0.002976594,-0.061632056,-0.003682688,-0.020614041,0.17612956,-0.051035444,-0.040484172,-0.03465531,0.196082647,0.156003153,0.176545967,-0.107313276,0.136243713,-0.055747491,0.098898217,0.14138051,0.006641463,0.007764184,0.056040632,0.072042728,0.029376353,0.300553903,0.203166203,0.244657903,0.207951447,0.08901596,0.164414343,0.255649717,0.154115783,0.3233948,0.321264987,0.016694327,0.18008235,0.34059872,0.218146417,0.332019257,0.183446167,0.223877033,0.275077793,0.39051104,0.14031051,-0.02189019
7,0.087034523,0.09209709,0.095138597,-0.089234693,0.120317643,0.121467053,-0.068360096,-0.106436815,-0.02580263,-0.092317924,0.108760893,-0.121895939,-0.103776904,-0.114010709,0.108899647,0.094083153,0.107690967,-0.130276669,0.08918438,-0.132722353,0.08948655,0.092835177,-0.071560334,-0.09924991,-0.015917771,-0.03253473,-0.064348327,0.199995903,0.12539487,0.159456237,0.12968478,0.102886293,0.101008343,0.163512717,0.09962645,0.209462133,0.204855653,-0.088315947,0.114199683,0.21774972,0.129972417,0.223040257,0.107656167,0.138675367,0.179968793,0.29936504,0.091269843,-0.080657535
8,0.091492857,0.098041423,0.108513263,-0.088372464,0.087128643,0.091745387,-0.08321693,-0.09922924,-0.029594573,-0.117458141,0.09439556,-0.132322434,-0.103663636,-0.133427774,0.089085313,0.095569153,0.0972883,-0.113611395,0.09760538,-0.153226216,0.095430883,0.102742177,-0.109638131,-0.155737336,-0.062612841,-0.106894854,-0.123398007,0.128168903,0.088243203,0.10199457,0.08807478,0.12319596,0.09754101,0.109518717,0.08575645,0.129214133,0.123616653,-0.154688221,0.08299235,0.13353872,0.09480175,0.140315257,0.091804833,0.091121033,0.113590793,0.200293373,0.092755843,-0.10474988
9,0.100409523,0.10993009,0.123869263,-0.081070567,0.089605643,0.102148053,-0.084203765,-0.096974999,-0.039825849,-0.114362691,0.106283893,-0.129869596,-0.107017701,-0.130058173,0.096515647,0.091606487,0.098278967,-0.101899788,0.10553138,-0.146980412,0.099393883,0.11413551,-0.115022261,-0.169128096,-0.089989244,-0.152524311,-0.137370353,0.09151257,0.088738537,0.086638237,0.08807478,0.13161696,0.09605501,0.087227717,0.084765783,0.093053133,0.09538132,-0.168552495,0.082001683,0.092919387,0.09628775,0.09375159,0.099235167,0.087158367,0.089318127,0.122026707,0.10613051,-0.102092892
10,0.106353857,0.119341757,0.143188263,-0.077236337,0.099512977,0.11552272,-0.080237267,-0.093235092,-0.040645791,-0.109285907,0.115200227,-0.124940091,-0.106904433,-0.126193238,0.10790898,0.089625153,0.097783633,-0.093160514,0.112466713,-0.141229941,0.104842883,0.12503351,-0.112976058,-0.161713857,-0.088634647,-0.146636435,-0.128556033,0.101419903,0.095178203,0.100508237,0.09897278,0.142019293,0.098036343,0.09317205,0.091700783,0.101474467,0.11172832,-0.157153103,0.08299235,0.097873053,0.100746083,0.09375159,0.112609833,0.0931027,0.091299793,0.090323707,0.119009843,-0.096958903
11,0.11229819,0.124790757,0.160030263,-0.068944108,0.11239231,0.126916053,-0.078747435,-0.088999517,-0.042456067,-0.103218124,0.127583893,-0.121496586,-0.109763498,-0.121337637,0.113853313,0.08764382,0.0943163,-0.084916574,0.11890638,-0.133993471,0.110291883,0.14138051,-0.107462188,-0.155290283,-0.086784717,-0.137776559,-0.12370438,0.11380357,0.10310387,0.110910903,0.113338113,0.14994496,0.097045677,0.09614405,0.09566345,0.1103908,0.127579653,-0.14575371,0.082497017,0.104808053,0.10867175,0.102668257,0.1190495,0.0931027,0.096748793,0.095277373,0.12693551,-0.088852915
12,0.128644857,0.138165423,0.18826593,-0.053221544,0.138150977,0.14722572,-0.063882937,-0.076342943,-0.03089201,-0.090711007,0.14343556,-0.108641414,-0.102219896,-0.106079703,0.12871398,0.101018487,0.1052143,-0.071718966,0.136243713,-0.112887,0.12218055,0.16614851,-0.095013319,-0.142427377,-0.07601812,-0.119504683,-0.108945393,0.139066903,0.119946203,0.126267237,0.133648113,0.17074996,0.11141101,0.10753705,0.10507545,0.123765467,0.15185232,-0.131382317,0.08844135,0.117687387,0.12254175,0.12248259,0.1398545,0.099542367,0.110619127,0.108156707,0.14476851,-0.07727926
13,0.13310319,0.14460509,0.20659393,-0.047405981,0.15548831,0.153170053,-0.064869772,-0.076565368,-0.031711619,-0.086624891,0.15037056,-0.105197909,-0.102601962,-0.100233435,0.132181313,0.104486153,0.1076913,-0.069419359,0.144664713,-0.097725196,0.12515255,0.18150451,-0.087517782,-0.136994803,-0.073177524,-0.107672474,-0.100626407,0.156899903,0.125890537,0.136669903,0.14603178,0.182638627,0.11537401,0.11546305,0.10656145,0.126242133,0.161263987,-0.124441258,0.091413683,0.128585053,0.133935083,0.131398923,0.149266167,0.102019033,0.11804946,0.113605707,0.158143177,-0.070659272
14,0.138056857,0.149558757,0.21749193,-0.049516085,0.171834977,0.16406772,-0.065856606,-0.075797127,-0.032036228,-0.084025108,0.156810227,-0.104231071,-0.105460693,-0.092900834,0.135153313,0.105972153,0.107195967,-0.064642752,0.151599713,-0.086526059,0.134564217,0.187944177,-0.085966579,-0.12759923,-0.074794927,-0.101784598,-0.088840087,0.169283903,0.128862537,0.145090903,0.15296678,0.19254596,0.124290343,0.121407383,0.104084783,0.124756133,0.173647987,-0.116509532,0.092899683,0.13502472,0.139384083,0.142296923,0.160659167,0.107468033,0.120526127,0.118559373,0.170031843,-0.068497284
15,0.14251519,0.153521757,0.226408263,-0.054102855,0.184218643,0.175956387,-0.069320108,-0.07106622,-0.032360504,-0.079443658,0.166717227,-0.100787566,-0.104356759,-0.089035899,0.140602313,0.10696282,0.107195967,-0.060361478,0.157544047,-0.078299255,0.181623217,0.191906843,-0.082929376,-0.11721299,-0.07591733,-0.098373388,-0.081511767,0.18117257,0.13232987,0.15450257,0.15891078,0.198985627,0.128748343,0.128342717,0.101607783,0.119802467,0.18107832,-0.105605806,0.09537635,0.14195972,0.145328417,0.15170859,0.1680895,0.111926033,0.123002793,0.12499904,0.176966843,-0.064849296
