Cycle,1,2,3,4,5,6,7,8,9,10,11,12,13,14
1,0.5123896,0.50145141,0.52458589,0.67703864,0.166902719,0.53398462,0.51953862,0.6238132,0.52334263,0.44048554,0.4602001,0.57123945,0.27332018,0.22517218
2,0.509429433,0.514526077,0.544074057,0.68468614,0.166636656,0.537438453,0.52471912,0.608518533,0.512734797,0.441472373,0.452799433,0.57271945,0.26986668,0.204531274
3,0.4852541,0.518473077,0.551968057,0.675805473,0.161930427,0.535958453,0.53261312,0.577435867,0.484118797,0.420257373,0.4310911,0.569759117,0.256545347,0.156754535
4,0.4250621,0.486403743,0.529273057,0.62794814,0.131568531,0.49846212,0.498570453,0.510336867,0.428860797,0.37536004,0.364978767,0.53571645,0.195860347,0.048786129
5,0.323426767,0.42571841,0.465627723,0.52433914,0.067657302,0.43679012,0.44281912,0.419555867,0.335119797,0.289019373,0.270250767,0.481938783,0.14010868,-0.037967277
6,0.211430767,0.33099041,0.381753723,0.395074807,-0.014508927,0.33811512,0.34414412,0.295718867,0.22213713,0.20070504,0.1720691,0.37734345,0.090771347,-0.094624683
7,0.1236101,0.213073743,0.25791639,0.237194807,-0.08039349,0.217731453,0.22326712,0.175828867,0.12740913,0.122751707,0.1074371,0.241171783,0.089291013,-0.10293109
8,0.094994433,0.130680077,0.162695057,0.14148014,-0.101381053,0.132870787,0.133472787,0.1077432,0.095339797,0.09314904,0.0926361,0.13558945,0.093731347,-0.094956496
9,0.100914767,0.097130743,0.10250339,0.093129473,-0.100166615,0.096854453,0.09449612,0.091461867,0.100766797,0.087228707,0.100036767,0.09365245,0.100638347,-0.090928902
10,0.106341767,0.10601141,0.09312939,0.097076473,-0.094018511,0.107215453,0.101403453,0.0944222,0.112607797,0.091669373,0.109410767,0.106480117,0.10211868,-0.084434308
11,0.1137421,0.109465077,0.092142723,0.099543473,-0.090337074,0.113629453,0.113244453,0.094915533,0.129382463,0.094136373,0.118291433,0.12128145,0.10211868,-0.083366714
12,0.130516767,0.128706743,0.100530057,0.114344473,-0.07876197,0.13287112,0.131992787,0.107249867,0.15898513,0.109924373,0.1375331,0.146936783,0.11099968,-0.069964787
13,0.144824767,0.140547743,0.109410723,0.12026514,-0.070640532,0.14372512,0.14580712,0.115143867,0.18661413,0.121271707,0.1493741,0.169632117,0.115933347,-0.059029859
14,0.149265433,0.14794841,0.105957057,0.12421214,-0.068933095,0.153592787,0.150247453,0.118597533,0.201415463,0.130152373,0.157761433,0.18591345,0.117907013,-0.053028599
15,0.151732433,0.14794841,0.102997057,0.119278473,-0.067718658,0.152605787,0.162088453,0.114650533,0.21572313,0.131632373,0.159241433,0.19627445,0.117907013,-0.052948005
16,0.156172767,0.154855743,0.094609723,0.124705473,-0.068477887,0.160499787,0.169982453,0.120570867,0.226083797,0.135579373,0.168122433,0.207622117,0.120374013,-0.052867411
17,0.170480433,0.166696743,0.10201039,0.134079473,-0.060356116,0.17036712,0.191197787,0.1329052,0.247298797,0.14446004,0.183910433,0.22538345,0.130735013,-0.04390615
18,0.188241767,0.17705741,0.103983723,0.153814473,-0.053714679,0.19256912,0.198598453,0.155106867,0.268020463,0.157287707,0.2006851,0.247092117,0.13961568,-0.036424556
19,0.209950433,0.18495141,0.11533139,0.172069473,-0.039179241,0.21329112,0.212906453,0.1738552,0.29367613,0.16814204,0.219926767,0.26584045,0.15688368,-0.031903296
20,0.2267251,0.197285743,0.126679057,0.19673814,-0.025137137,0.233519453,0.222280453,0.1935902,0.31094413,0.17998304,0.236701433,0.286069117,0.173165013,-0.024421702
21,0.2425131,0.212087077,0.139506723,0.221900473,-0.014055367,0.246840453,0.23609512,0.215298867,0.32771913,0.192810707,0.251009433,0.304817117,0.18993968,-0.012993441
22,0.243499767,0.216034077,0.14296039,0.238181807,-0.014814596,0.24782712,0.242015453,0.229606867,0.33166613,0.19182404,0.253969433,0.316658117,0.198327013,-0.002058514
23,0.247446767,0.221954743,0.140986723,0.255943473,-0.020507492,0.252760787,0.247442453,0.246381533,0.343013797,0.19577104,0.2559431,0.325538783,0.205234347,0.003942746
24,0.255834433,0.224915077,0.14690739,0.27025114,-0.016826388,0.25424112,0.25237612,0.253288867,0.347947463,0.201198373,0.2613701,0.335899783,0.215595347,0.023265007
25,0.274089433,0.240703077,0.160721723,0.298373473,-0.006731284,0.267068787,0.26273712,0.269076867,0.362748797,0.216986373,0.2717311,0.354648117,0.230890013,0.053441601
26,0.285930433,0.247610077,0.173056057,0.316134807,0.002870154,0.275456453,0.27309812,0.278944533,0.36965613,0.221426707,0.2811051,0.371916117,0.245691013,0.110260195
27,0.2962911,0.255010743,0.18785739,0.333896473,0.014445258,0.28433712,0.285925787,0.292758867,0.38297713,0.226853707,0.290479433,0.387704117,0.255065013,0.202602122
28,0.297277767,0.261918077,0.194764723,0.34672414,0.019606695,0.29223112,0.29283312,0.297692533,0.39087113,0.22882704,0.2954131,0.398558117,0.263452347,0.368950049
29,0.304678433,0.270799077,0.208086057,0.36349914,0.030195133,0.299631453,0.301713787,0.307066533,0.403205463,0.235734373,0.302813767,0.410399117,0.273320013,0.672949977
30,0.310105767,0.28066641,0.219927057,0.377313473,0.038810237,0.309005453,0.309114453,0.3129872,0.41060613,0.24165504,0.3112011,0.42026645,0.283681013,1.224130571
31,0.325893767,0.289053743,0.241142057,0.38718114,0.057292674,0.313445787,0.32046212,0.325321533,0.422940463,0.25596304,0.322548767,0.429640783,0.290095013,2.177411831
32,0.333787767,0.298921077,0.25594339,0.399515473,0.087616111,0.31887312,0.328849453,0.333215533,0.43280813,0.26780404,0.3363631,0.44246845,0.29749568,3.650217092
33,0.3372411,0.303855077,0.27173139,0.405929473,0.141128215,0.32380712,0.335263453,0.341109533,0.440208797,0.272737707,0.348697433,0.453322783,0.318217347,5.699284352
34,0.343161433,0.312735743,0.28455939,0.41727714,0.242990986,0.33170112,0.34019712,0.347029867,0.446622463,0.282111707,0.3625121,0.468123783,0.338939013,8.257514946
35,0.3530291,0.31865641,0.303800723,0.423690807,0.431194423,0.34502212,0.34513112,0.3554172,0.450075797,0.29296604,0.3743531,0.484898783,0.35719368,11.18577654
36,0.3776981,0.341844743,0.330936057,0.44638614,0.778757861,0.362783453,0.360425453,0.3702182,0.466850463,0.31418104,0.396061433,0.506114117,0.37150168,14.32174913
37,0.386085433,0.351219077,0.34623039,0.452799807,1.355740965,0.374624453,0.37325312,0.380085867,0.479184797,0.32059504,0.4064221,0.51943545,0.38334268,17.49225773
38,0.4003931,0.367007077,0.362512057,0.46365414,2.276113069,0.38449212,0.387067453,0.389953533,0.495466463,0.33391604,0.417769767,0.53275645,0.396664013,20.64747166
39,0.404833433,0.37391441,0.368432723,0.468094473,3.60401284,0.389919453,0.393481453,0.396860867,0.503360463,0.342303707,0.4231971,0.544103783,0.403571013,23.72867925
