Cycle,A01,A02,A03,A04,A05,A06,A07,A08,A09,A10,A11,A12,A17,B01,B02,B03,B04,B05,B06,B07,B08,B09,B10,B11,B12,B17,C01,C02,C03,C04,C05,C06,C07,C08,C09,C10,C11,C12,C17,D01,D02,D03,D04,D05,D06,D07,D08,D09,D10,D11,D12,D17,E01,E02,E03,E04,E05,E06,E07,E08,E09,E10,E11,E12,E17,F01,F02,F03,F04,F05,F06,F07,F08,F09,F10,F11,F12,G01,G02,G03,G04,G05,G06,G07,G08,G09,G10,G11,G12,H01,H02,H03,H04,H05,H06,H07,H08,H09,H10,H11,H12,I01,I02,I03,I04,I05,I06,I07,I08,I09,I10,I11,I12,J01,J02,J03,J04,J05,J06,J07,J08,J09,J10,J11,J12,J16,K01,K02,K03,K04,K05,K06,K07,K08,K09,K10,K11,K12,L01,L02,L03,L04,L05,L06,L07,L08,L09,L10,L11,L12,L16,M01,M02,M03,M04,M05,M06,M07,M08,M09,M10,M11,M12,N01,N02,N03,N04,N05,N06,N07,N08,N09,N10,N11,N12,N16,O01,O02,O03,O04,O05,O07,O08,O09,O10,O11,P01,P02,P03,P04,P05,P07,P08,P09,P10,P11,P16
1,-36.91721114,-54.29730222,-44.78399452,-49.01062663,-57.92380765,-26.71374772,-61.49841655,-56.81582419,-49.22033079,-51.9871246,-24.96272435,-27.44741378,-50.52862432,-63.6577323,-23.14066936,-15.04234324,-19.26076699,-16.41060522,-12.2907984,-34.86485785,-36.0616321,-19.79191143,-20.65517275,-17.34869239,-26.55374911,-21.03182926,-62.98384661,7.724468205,-13.65548801,1.52133268,-21.26532375,-31.25511172,-28.94197949,-28.89739337,-31.50270925,-17.9432617,-29.04079018,-32.24872425,-1.13900839,-44.2358706,-12.899313,-20.73122266,-23.01288767,-39.6954347,-39.72379774,-25.82481109,-20.08211141,-36.48825003,-14.65233962,-32.12268934,-23.80636946,-37.15899738,-65.52990083,-21.36597816,-8.896296106,-22.833946,-23.56254358,-13.1657724,-8.422761895,-22.7548079,-33.50063881,-10.16621436,-23.77719522,-12.25930349,-19.72424503,-34.28858536,-13.31082245,-18.39232244,-27.44311528,-8.590242828,-22.30717448,-14.17695235,-54.99264596,-22.60626961,-26.21088612,-13.57894585,-8.626289122,-40.36275621,-14.01767265,-16.95623814,-25.76682614,-14.55433708,-23.25974842,-40.93555673,-55.69767484,-13.90394814,-46.5618447,-48.84394262,-26.59370602,-75.41938195,-6.38572362,-30.70660757,-33.53336971,-17.63137903,-34.3515841,-28.98604054,-47.48108086,-7.180928271,-36.25262349,-42.1859984,-12.89802569,-24.59632186,-8.524353092,-18.64699709,-15.16890569,-22.77335193,-38.1191841,-13.15231078,-39.62135218,-9.373846542,-26.08980769,-33.98234135,-5.828249539,-42.0227107,-15.32932232,-25.71761562,-26.73775845,-23.1797286,-33.39294822,-33.67427678,-29.46116153,-2.92026739,-1.239264267,-32.94936111,-15.61922356,28.52375632,-47.36084362,-17.19424741,-21.66988174,-12.90937117,-20.08301997,-34.79124421,-44.70779255,-23.91497587,-4.649701851,32.30420289,-56.02963537,-42.55196736,-46.65125409,-21.26942698,-26.88203951,-25.80783408,-2.859774638,-33.21442589,-32.24084073,-18.61356101,-10.00531295,-7.192125616,-27.3175,-33.56787966,15.47256504,-69.31930564,-12.1536922,-24.45820482,-38.52095024,-21.73547477,-26.08880511,-13.89596682,-23.12738076,-21.55003751,-10.61579639,-11.35522885,-17.35879176,-13.71849967,-22.81980099,-32.98768504,-23.80827536,-17.96813197,-0.998495495,-14.86026944,-9.008767251,-0.991672511,-17.34309162,-14.81935563,22.21941636,-33.58486223,-4.437928224,-25.63029946,-31.95868527,-26.16264363,-25.2470273,-34.13699901,-22.93957382,-8.37021861,-11.26102961,-21.28347406,-11.3395757,-22.38189489,-27.87480225,-43.43967747,-34.51400046,-13.17563561,-20.4947581,-26.49642205,-47.6608435,-24.6997736,10.30285171
2,-21.62434067,-35.91414476,-27.06284529,-30.36756398,-26.94924377,-5.431963166,-27.45662928,-30.81176354,-27.83064874,-22.18559579,-8.769865556,-14.58026794,-31.68300841,-36.06194542,-13.02261714,-9.594976273,-14.78264491,-12.47685865,-7.732694696,-14.24410958,-16.84614903,-11.2274111,-13.79958155,-12.75335953,-13.68481721,-14.67985611,-37.13813502,-3.379583591,-10.08388741,-4.949998975,-14.48857031,-15.33677684,-17.15691696,-13.66369733,-16.30351413,-6.762547543,-13.4330718,-15.56422917,-9.30465165,-23.95457305,-9.282099585,-13.25010307,-11.68913243,-16.45153349,-15.17902495,-17.41461273,-11.72437423,-14.30759879,-12.00047893,-15.86643874,-13.62272731,-21.8016808,-28.89336475,-9.741750447,-3.388773124,-12.54921718,-11.98863898,-9.182743402,-10.36002171,-10.86194971,-18.71618095,-14.97821893,-14.73811342,-16.00369681,-9.639739245,-17.3674006,-8.930431785,-10.08872731,-12.39242695,-6.98743286,-14.37998632,-8.805170404,-21.68065131,-10.27730798,-17.54690175,-7.406022753,-8.56160653,-21.64538165,-8.527837086,-7.724045207,-10.7990239,-7.213879457,-10.24080067,-18.79030639,-25.7572524,-10.26146251,-14.96385139,-21.63148747,-17.76585177,-43.58788161,-0.005215069,-12.85790384,-16.88713708,-17.34672635,-15.37240758,-14.01464992,-19.72310223,-12.02909753,-18.98587365,-18.41562914,-12.98201041,-16.47129142,-4.006332168,-10.11743999,-5.417656422,-9.620911775,-13.93858152,-5.608317863,-17.30055729,-7.741768234,-8.336328326,-20.02498,-2.183043282,-18.21621464,-8.214321416,-13.16998561,-12.76202401,-8.154451767,-13.9929404,-21.16412765,-11.18463824,-9.501718157,-9.920302142,-17.67564009,-13.90541187,35.60187102,-24.63376041,-8.266292318,-12.16778087,-3.460431859,-9.83558398,-15.03247239,-24.63671698,-11.57405464,-0.825757713,0.778967828,-23.52239707,-23.88185884,-29.21849002,-8.609389975,-15.34434087,-11.66936332,-4.557454724,-13.23200951,-9.474525326,-14.23721323,-16.68914029,-12.48263931,-19.09415076,-21.61146151,17.85973712,-36.14322297,-4.770595327,-10.32360145,-11.48068235,-3.804622164,-12.40536678,-5.635852291,-6.484607162,-14.25462843,-8.44677509,-3.321676961,-5.980187187,-10.00510099,-9.456904524,-15.93240243,-9.97517204,-8.779417373,-6.126818642,-10.84205162,-0.525621249,-8.961128867,-12.53331391,-5.33262182,-1.760581831,-25.13065005,-9.789359857,-15.33508445,-14.36520405,-12.18946284,-12.04363084,-18.29286459,-13.13474342,-6.612262637,-8.311940285,-13.35646119,-1.868795564,-14.21596905,-11.51190244,-18.12180597,-13.43747812,-3.733889574,-16.49854396,-14.7486503,-30.14380345,-8.300316379,14.23055
3,-10.84944939,-18.01563012,-10.4891264,-16.3261713,-13.29187253,-0.997526677,-10.98737224,-12.01626192,-12.57774149,-7.100491673,-4.605434661,-5.766815482,-22.84105051,-16.29692211,-2.589412098,-4.477270006,-5.297187116,-2.83618674,-2.796741318,-6.07935486,-5.89470633,-2.391897141,-6.09454695,-5.68519916,-3.282418258,-8.28281035,-15.66857414,-1.988526577,-4.39551589,-0.842568128,-4.35681317,-8.225796829,-3.856579675,-5.523045299,-7.606239657,1.17716857,-2.193009496,-6.31322281,-5.815380439,-8.315034876,-5.501696299,-2.942945452,-5.3938264,-8.525754562,-7.208111247,-6.7374995,-5.217524643,-9.96052846,-2.302269232,-5.394623661,-6.814347481,-11.06293147,-15.40660036,-6.266917287,0.944046941,-3.233690984,-5.327432411,-4.065729012,-4.158387255,-3.635812588,-8.722248119,-3.099472787,-3.238054553,-4.759163321,-6.506839964,-7.360071569,-3.379264675,-4.342439194,-3.212381358,-3.871369771,-5.130185623,-3.372685724,-8.993458938,-3.515768573,-6.826747192,-3.33693163,-2.887109226,-7.732481822,-2.932367788,-3.42613483,-3.398553664,-0.038311645,-5.255165939,-10.20028193,-8.071336954,-2.272073139,-4.862726718,-7.840515044,-5.862710526,-23.33065043,-1.14694566,-5.991139373,-8.444316916,-6.882414203,-2.066841535,-3.485797882,-4.881432624,-6.24436075,-5.871737161,-4.647855947,-5.571687414,-1.990905695,1.035833234,-4.214727355,-4.746132145,-4.877876723,-7.514453842,-5.464250697,-6.984195942,-8.311539488,-3.464488356,-10.18878703,-1.166062507,-7.773324993,-2.01501481,-6.279965125,-4.878676282,-0.8546804,-6.074902276,-5.045263536,-5.402504185,-0.432243587,-4.636177077,-4.825354531,-5.008883786,45.97967997,-9.970434107,-2.109390171,-4.522132579,-3.546030281,-3.246137577,-9.066067298,-8.717771569,-8.150416728,1.911100342,-2.580483776,-6.309725168,-10.87099635,-20.69659941,-4.329256333,-7.708096657,-4.165682022,-2.905686949,-5.0716388,-3.871356781,-5.471332806,-9.847286665,-5.800245823,-5.639131779,-10.02890281,20.98397686,-16.89380574,-1.745066896,-3.121901174,-5.55066679,-0.834481228,-4.24572378,-2.074610849,-3.389408656,-7.62994008,-4.013248141,0.348988702,-3.894200339,-3.358767222,-2.145002798,-7.998233915,-3.964725374,-1.740223938,-3.396631931,-5.321518843,-3.349763409,-4.307028922,-4.192203832,-1.678847021,-2.291372568,-22.70796789,-10.9225994,-6.630748613,-5.174615383,-3.750400687,-6.86670166,-3.905209064,-4.763593628,-7.239676993,1.156986193,-4.338871788,0.354904922,-6.428718375,-4.465534565,-10.27310302,-5.422881787,-2.885751646,-7.252362486,-3.681401371,-16.3586345,-0.562017409,18.78352285
4,1.156763998,-2.819650466,1.241936804,-3.386242544,-0.498003034,8.745591187,-2.624336645,-4.540085207,-4.192367561,-0.288532126,1.496602246,-2.44076837,-16.93469483,-4.727153388,-2.037485646,0.749258972,2.544759748,-0.026207238,1.632233548,0.683407887,-1.042346448,-0.084365032,-2.780874262,-2.075844693,-2.292802063,-2.577443422,-3.710832677,2.491345101,-0.498156895,0.797404942,-0.405093541,3.442948072,1.019562053,-0.691303189,1.007279196,3.219883151,1.361970575,-0.501327669,-0.998766415,-0.738307481,0.988430966,-1.016851798,2.235418685,2.304412025,0.23586661,0.421140107,-1.523082709,-4.861205089,-1.814460117,-0.497791014,-0.327755024,-0.571857922,0.299066247,0.350539248,1.878753813,-1.300105231,0.525034517,1.845218871,-1.669154905,-1.793633704,0.578525252,0.64958958,-2.712862706,-0.18335804,-1.077962667,-1.637843384,-1.39844925,1.890556017,2.388161563,3.936226277,0.436089115,-0.070811877,-2.086032762,2.319694504,-0.496578119,-0.327765518,0.788213936,3.467272596,-0.387229795,-0.173860611,-0.164866316,1.330559908,2.791534905,0.937813594,-1.4045556,0.810567204,0.902025042,0.59041007,1.292516688,-7.274544535,3.835951906,2.631088227,-1.292998995,1.809436479,1.234703586,-0.67842875,-1.868572873,0.758663286,0.318113291,-1.253856726,-4.203895525,4.394470514,1.71178862,3.208623857,0.512851708,1.957304321,0.659828639,2.843567241,0.415866307,-0.422976055,0.526000958,0.900084181,-0.760276867,-1.12842985,3.56438982,-0.644197499,2.764807903,-0.535030715,2.474315117,-0.871466869,3.388244767,-0.772151289,0.282422233,-1.850033686,-4.699963791,61.30623996,-0.959739353,-1.416747454,-3.666021252,-1.242770244,-1.447733509,3.016005184,0.143491214,1.260670993,2.917619075,0.270754628,2.962474541,-2.214714306,-10.2862245,1.46804536,0.85883193,0.700544285,-2.011026799,-1.273668816,-0.570446431,-1.776790914,-3.373559693,0.234526453,1.43378681,-2.065561188,27.97863581,-1.542570146,-0.374978066,1.288334576,0.468479753,1.094125393,-1.179932699,-1.00467428,-0.181765563,-0.181717936,-0.908819353,4.996231797,-2.135996101,3.928652061,1.258863598,2.83003082,2.791042364,1.991309375,-0.407890029,-2.283224029,0.297313584,0.186608663,-0.700270559,0.613428963,-0.940163184,-14.09846637,-5.355353893,-2.889638842,-1.043892107,-0.236532296,-0.838044669,1.097662608,0.270346579,2.9826513,-0.780533856,0.215876115,2.845536933,2.354907532,4.449218541,-0.208412339,3.80398504,2.720095981,-0.072033582,4.139801774,-5.292993601,3.890176275,25.04469713
5,7.225222556,5.358078521,6.110118746,6.796975891,9.197442924,10.15864301,8.329975025,9.955199155,8.727538952,2.201481695,-0.668186518,6.637089827,-11.73960207,6.199877298,5.970373755,6.071043566,2.965673232,2.786760054,2.167545416,5.627327659,5.048240355,4.385086303,5.083114352,4.065158191,2.627735798,0.291679782,8.768447693,1.945920298,5.114075858,4.689649465,4.308409258,7.596675974,5.330350932,5.798225401,1.902287786,5.547402253,5.504849297,6.13841297,-0.240865557,6.62819348,6.64542755,4.928793416,5.800847542,6.556922401,5.426789189,5.526837647,2.057435881,1.894819892,3.111562823,5.013665477,4.958202952,7.688029922,8.524363489,5.968817649,4.693573886,5.105820814,4.396396568,4.710866883,3.673884456,2.197895764,2.661247796,2.2943852,1.135311365,7.964292542,4.800207173,6.431419759,4.521652943,2.302324067,5.020833758,4.807589453,1.667502033,3.768608421,8.542802648,2.67256543,4.130107556,-1.416278849,5.795626498,11.53146211,2.026641774,5.2796382,4.409577028,1.882214677,3.728317711,5.562423311,4.019326419,1.410300556,2.453451454,1.560957692,5.826145803,5.734642088,1.513175151,4.564460138,5.680170322,3.835583204,5.468396362,5.234605279,5.443767848,0.952512818,3.328012193,4.259160989,-0.578656344,8.993055859,3.756963904,-0.312025063,2.770981512,5.339531321,6.706586893,2.809820737,5.464643573,4.603853581,3.912640626,0.49421064,-0.3643181,5.369355718,3.631572356,3.837590934,2.097586609,2.238426196,6.898535993,4.304111383,5.439692766,2.289890374,4.11357798,9.240306678,5.550510302,69.53104975,6.003581564,2.734950529,4.10562168,3.804003243,3.115479262,4.22348256,3.196698183,6.226879422,5.28662479,5.157354054,8.683186133,7.381996619,-1.066130273,5.162834013,4.774199564,8.378119058,4.194175988,5.415331716,4.930346975,4.617862873,4.389078062,3.916713429,6.572712619,5.272226695,30.16559434,4.733314859,4.696011513,3.182030019,3.425695162,7.355633041,3.808959362,3.95617107,3.643561355,4.949539583,3.885103608,0.477327041,2.100492019,5.152023568,7.996974207,6.166524462,3.853359557,3.706432839,5.28718858,9.516953732,1.357295161,1.910154849,2.261309355,4.423326233,6.303528946,-12.5267107,4.251743337,3.06454472,4.172041793,2.744944002,3.983559873,-0.355288401,5.085447135,4.389350562,3.998715618,5.182013924,5.562550113,10.22015506,8.120510629,4.549184395,6.523330433,7.307419775,6.477311842,5.970392987,3.05107751,10.97268329,29.08259801
6,13.04135606,11.7308214,14.35465517,9.805025471,11.82068208,12.03085174,12.21359639,13.82046973,12.60552954,9.039607718,8.313985356,8.695446604,-5.417029386,13.89246989,6.560780413,8.706144178,9.199978584,4.480916096,5.340975881,7.032748124,7.005572863,5.407125514,5.741936667,6.355641473,8.850589092,2.95299867,15.13764638,8.100208996,10.74484134,3.687369547,7.394332026,5.918302176,9.316642432,9.395002643,7.145082488,9.411056713,8.715045328,9.581360788,0.720363316,9.927409846,8.322751044,7.916410589,4.823897213,9.838793796,8.724148457,9.906190565,10.37044806,8.600524129,10.50281135,6.695892988,7.573657072,14.25231156,17.04100122,5.095033643,7.319016609,8.120009689,7.424820337,5.367680642,10.15182576,6.600957934,6.850360865,7.341324922,6.579628043,6.286836034,7.911687508,14.068056,6.845138328,7.923412854,9.570462374,7.217137894,9.891049337,8.561658121,10.72117633,4.682231082,9.236452582,9.816071255,5.184691612,14.45336032,6.643413071,7.483390926,10.32640779,5.556054681,6.70133475,7.142242209,7.298234899,5.942479132,10.30850995,9.528746547,5.782080807,14.69250392,8.751013333,9.323124946,10.11837959,10.78474363,9.088976678,5.354641125,8.21796401,10.29307405,11.48389083,9.080109352,8.090516016,17.27240647,5.33875482,6.693375673,7.27707425,5.06950583,7.778542352,5.591606139,10.5137696,7.627847555,7.292460651,11.91790216,5.684959053,12.19780681,7.433250126,7.802058265,6.567850919,5.656087243,8.726367486,9.739222342,7.60203666,3.697309148,5.692134604,12.62362631,9.318668092,79.62699205,12.6631382,8.445211775,6.249315837,6.904182738,10.06660666,6.485753158,8.282182689,7.223995768,12.28398541,6.405328593,11.88346162,9.051562162,4.303897587,6.410510505,8.561154282,7.713825676,3.112987602,9.868300165,9.13125858,11.1099369,10.52720818,9.135787644,8.79916099,7.467977087,44.46108993,13.11176925,9.096985126,8.615399858,8.882112295,6.932327175,8.495223988,4.748485438,5.553110721,10.80329368,5.105953556,4.719974105,7.553483856,6.930446861,9.729134719,10.67525587,8.435552148,5.203366675,5.022127695,5.561070131,5.484920189,3.536728276,7.349701619,3.397408319,9.563056421,-7.731540823,11.37494176,9.578096935,8.460363683,7.060312876,3.815499872,7.074521319,7.474178088,11.79838658,4.526434119,5.992677445,7.681385386,12.71320156,12.1347855,10.77632751,6.848439409,10.54262454,10.03616412,6.393807161,11.27926818,12.39153703,35.22458353
7,15.25590692,14.08447867,13.70223711,13.62906309,14.97302255,9.4867315,16.5623201,18.24256633,13.98553761,13.58023192,6.756844343,9.050318663,1.739823315,17.16185778,10.57406902,8.730850419,8.613833199,9.608954234,9.102248479,9.941295163,9.430811916,7.89500481,9.409063976,7.954530177,8.522252903,5.24804625,16.54133348,4.540785058,7.920986592,4.293813824,5.535622353,8.437155156,8.238739167,10.17646507,4.882452731,6.158427407,10.24523715,10.1729539,1.970967676,11.32224905,11.48160382,9.081344902,9.011116502,13.30812981,10.09567391,7.483640505,7.657358624,9.527991801,6.302228184,9.582255631,10.786889,14.57864384,17.8451952,9.872094342,7.58661845,7.27246612,8.273306015,5.860133662,13.19360233,8.212079046,11.13640937,8.155229386,7.535637885,8.274013561,7.123082837,19.21616577,6.889990577,9.055754099,11.27485601,5.228752368,8.110439272,9.292235124,11.04079776,11.12087829,8.599456693,10.71596298,10.0847795,11.6779858,4.379848709,5.856976268,7.693159698,6.89045861,8.721271463,12.64089438,12.3273301,7.93458775,10.72926082,14.42194562,8.6432832,19.40532923,9.211751452,7.783480613,11.3756367,9.697870006,10.08500547,8.316082151,9.631473885,9.838642481,9.870850078,8.908294664,9.863282426,16.79940264,7.383462194,9.69381927,8.247145961,5.46492602,10.62671098,7.643077151,6.382096006,12.82206008,7.761156426,11.3025329,4.447987166,14.67802052,5.37857708,9.177454426,6.741735392,7.816501289,7.329589287,11.54427136,10.22859498,7.611994441,7.775734107,10.18246706,7.976875017,87.23948804,11.69336874,4.610946134,8.250903349,3.742288752,6.682759511,9.597320605,9.15928825,11.50798457,11.26108332,4.882075536,13.73672288,11.52550097,6.183935759,7.596572668,9.667877602,9.065492455,5.365894052,4.837427413,9.813474106,8.170327956,11.69567086,11.02405752,14.04709674,11.80369768,44.64285071,16.8407223,7.803018259,7.362142699,4.973746967,4.498266686,6.646853007,8.351408727,8.282913823,10.58571323,9.732831926,6.309336071,7.806024526,10.70794384,8.48476223,7.135811844,5.052679571,7.227713394,6.462986932,7.534202706,7.07711053,9.662634083,9.936453379,6.489921068,10.8539014,-3.092489804,16.88828505,10.07451158,6.197062249,5.509221565,7.032480146,8.242262743,5.342912097,8.213475033,3.810607104,8.311060983,3.985128848,14.8263138,8.510966021,11.17806671,10.43961541,8.0303478,8.87773722,9.320010013,14.61849313,11.69511337,34.38074255
8,14.73140605,21.98416357,15.14565201,18.21079469,16.58223411,11.42391475,17.23314959,17.61896534,12.33996351,11.46340465,8.587631729,7.772778669,1.415197369,21.83643499,9.968902262,10.62049932,11.89733166,8.03033367,7.275383068,6.900741863,7.942097694,9.779346482,9.705995887,9.175948747,7.719318603,3.371012403,19.05085065,6.751901826,9.835782371,6.71815525,7.630086173,10.57183391,8.852823079,12.22509261,7.954581763,6.542338793,7.186314445,11.06630296,4.24073545,15.86431243,11.41148902,8.235063029,9.881143617,12.99934984,10.79067368,11.67049656,11.52730757,9.222177792,9.463507372,9.578179989,8.162952333,10.5666635,19.0749363,7.737719475,6.815929384,10.47305644,7.705126875,7.652927503,8.309678255,8.795546313,7.922863528,8.358819805,9.045113059,12.67445153,9.785771254,20.75727611,6.171281429,7.061446154,7.955935826,6.062910038,8.205657351,8.317982383,13.18663252,6.548927848,9.042233218,8.669415132,7.099954797,14.01610284,7.53864956,6.450175516,6.616429546,7.081524793,7.522585949,13.20115638,11.97642372,7.393736132,9.598418095,11.29668233,10.79095374,19.9315245,5.43799351,8.342503126,9.910030614,8.668573976,8.110178952,8.729182907,9.435328165,7.42069023,5.154735714,15.63508225,14.10180418,17.98304803,7.885111783,7.789219587,7.736369694,6.930192114,9.069075332,8.515694916,7.224600268,9.535839034,6.291830773,9.09846172,4.945549049,19.04707698,8.308304846,9.545488652,10.1816944,4.63476095,7.224253182,9.71122633,10.75900052,8.984129669,7.154258947,11.48990763,11.25419922,89.52275675,16.85214151,6.001139589,7.590336389,8.466560841,7.522323699,10.1600731,11.78072935,7.415589315,7.866086632,2.137096112,7.152052004,13.91698095,7.163668269,7.951263754,7.032823845,8.278307018,7.54905166,9.03335429,10.79436992,9.493884197,13.60284643,11.85719634,8.693706234,10.83659017,45.99759327,20.02337778,8.223535968,9.547516191,9.359914745,5.471194926,8.769955156,8.008562083,5.964897293,9.700867817,7.491715501,3.01674232,7.295003651,10.41259471,10.01197725,8.486913144,8.590836344,10.05477895,4.863717037,7.222000908,2.568588083,8.843093086,8.453321951,6.058006998,6.21261455,1.512946527,12.97229804,9.336071473,8.069697367,7.141324762,9.621289604,7.696139819,7.317904495,8.054385614,5.274124258,9.287852182,5.216880905,14.79618369,10.78042408,14.18952998,9.743033289,6.793108421,11.85912909,5.634489784,17.02434551,6.667801703,44.85599533
9,15.30936039,16.60010261,13.85405051,15.87242472,15.63940817,9.169302631,13.26853353,16.96262408,11.05462882,13.31454282,9.309267573,13.23325995,4.685988575,17.36517232,13.02378257,10.64250585,8.112765126,6.158042713,9.049218148,7.307648001,8.996900491,6.030350016,8.856111956,8.56202011,6.680252383,7.413242032,15.8525773,8.424292605,8.077988006,5.023266396,9.575645855,9.203284861,8.345819196,12.1388397,8.414680779,4.3678223,8.979162229,8.472209605,7.759849265,15.14038827,10.17049218,7.449603325,6.489633292,12.19311464,11.54466895,12.59917728,10.43604602,10.94241835,6.319331379,9.161175542,8.227624083,12.0709957,20.93510445,10.38461426,3.845262679,10.81895864,5.311706614,11.15817108,8.108662421,6.165755936,7.063237493,8.784565915,8.50584839,8.815372408,13.37342074,16.73143606,4.486251467,6.560446157,6.963670697,4.846273369,7.098194616,9.000091718,11.02869971,5.969435302,7.247822387,10.70204988,5.659634374,11.70105661,9.708479827,7.077091769,4.624212549,9.112845071,9.076430887,10.39352966,11.64316406,5.720081355,8.930115204,10.8066337,10.91402471,19.27427626,7.120227598,7.821877345,9.192797474,9.93890166,8.637436349,5.277090466,7.63106776,10.12204179,8.277797185,7.978830859,12.73017487,12.43304995,5.200141161,8.096451206,6.172784744,6.75700074,7.963232689,6.07624775,9.975675065,11.863285,8.1127469,11.25133846,10.51266185,18.63561755,7.313540073,5.290937465,9.766451309,10.03192929,7.612837741,9.456834827,3.229715201,11.96041268,10.11856396,11.94121359,10.57824776,96.19559098,15.89380852,4.949512358,6.616492226,6.855767895,9.707922993,8.578098003,12.63635649,9.100949664,6.073593941,5.144260122,9.810033211,11.38905374,13.60071969,9.884483919,11.52361864,10.43698701,3.605225313,9.656163612,8.58953925,10.78954579,10.53694164,11.58466543,8.398608509,13.44855301,58.67121562,24.06840275,7.194358372,9.070265128,8.387999018,2.389379691,7.634593267,7.524280267,10.40332768,11.72842096,8.071488947,6.173246736,9.635275392,10.81218068,3.145332252,6.696190502,4.913988037,5.261727209,6.67885226,8.347072114,5.67505881,5.644823643,10.05448126,10.80344119,5.543518961,0.694881493,15.68382871,11.24479713,8.96931927,11.38582467,5.242562705,8.648602476,5.480703481,10.35556612,3.319500372,7.148404575,1.779662584,10.75728873,11.76647527,9.781862913,8.799387711,7.761340612,10.88325996,3.644015456,18.75765081,-2.654577722,50.45916091
10,10.23444793,13.80548012,9.681670657,13.18129161,12.06789449,-1.47899128,9.659478858,13.35665491,10.6362703,10.64477869,6.913952291,5.523962504,4.168147007,12.48597712,7.732942366,6.287098835,3.447962758,7.722229306,5.486418365,4.372100799,4.446609421,2.253048169,6.091466454,1.340677288,4.026869028,6.508502066,10.85438718,2.262227859,4.277613713,3.146493575,5.284202879,3.30282822,5.354172099,6.418366013,5.836889778,0.395471991,5.875034799,3.780734751,2.856830896,17.96925247,7.082218515,5.22309791,4.491584146,5.745181579,2.48518673,4.485439019,3.415726248,7.499026628,1.413298316,4.553463268,5.313358618,2.758165416,14.48040158,6.212428552,3.046850494,3.216806031,6.931154396,5.187256415,4.83845359,7.502611703,4.947634755,5.735403308,-0.785969868,6.279929899,7.94980408,10.34173972,6.716290675,3.524441242,4.562545616,2.169017211,5.406213453,3.739589063,5.356693611,5.475644493,5.978139454,4.516716986,4.860410978,4.479499697,6.365148917,5.262961294,5.561073857,3.298248682,5.771212223,4.723205218,2.311356076,6.930696118,4.640811789,5.615667745,4.025109932,13.49081362,2.939580003,3.574112188,6.05312269,4.885526221,2.646048319,2.112385826,8.408329228,9.57398276,5.569768037,5.104456283,8.307784699,2.452746229,3.243287652,6.385294513,3.054598889,4.610318099,7.544057027,1.70020214,7.887075116,5.692796605,7.671982017,6.084857989,4.888595495,10.91477514,2.191553566,6.100437744,3.273453179,0.55163527,4.381643249,3.331204327,3.624752088,6.504960436,4.793128987,2.64730455,7.144250862,98.00720718,10.42816803,4.429309085,5.664792117,1.500283557,1.848638518,3.242963412,7.0535014,7.631033819,-1.302522197,4.942671952,4.665864345,11.38877109,10.61185459,5.542982228,3.634987659,-0.444532647,2.058353857,4.578843064,2.46751432,7.424714904,7.147627861,5.61875877,-0.772694163,6.340884618,55.31734184,17.16112897,5.702116449,3.447725676,2.184894275,2.276391042,4.094446657,1.701096596,0.838904556,6.961567166,7.025556719,2.338240412,3.835606442,7.680359217,3.642014047,4.214446252,0.413327392,-0.822313468,2.260526057,6.745139985,1.750640755,4.39513126,4.188297927,3.87497458,3.800490172,2.340959326,8.016832444,4.034672257,4.01398147,3.278429341,5.357458801,4.963794941,2.903206528,1.875786023,2.583881102,3.599026644,2.243221921,8.1670403,6.473676972,6.343129831,5.425451256,5.758893475,9.658518838,2.133051585,13.60909473,-11.55282015,51.09788318
