wellLocation,Cycle_Number1,Cycle_Number2,Cycle_Number3,Cycle_Number4,Cycle_Number5,Cycle_Number6,Cycle_Number7,Cycle_Number8,Cycle_Number9,Cycle_Number10,Cycle_Number11,Cycle_Number12,Cycle_Number13,Cycle_Number14,Cycle_Number15,Cycle_Number16,Cycle_Number17,Cycle_Number18,Cycle_Number19,Cycle_Number20,Cycle_Number21,Cycle_Number22,Cycle_Number23,Cycle_Number24,Cycle_Number25,Cycle_Number26,Cycle_Number27,Cycle_Number28,Cycle_Number29,Cycle_Number30,Cycle_Number31,Cycle_Number32,Cycle_Number33,Cycle_Number34,Cycle_Number35
A1,-36.91721114,-21.62434067,-10.84944939,1.156763998,7.225222556,13.04135606,15.25590692,14.73140605,15.30936039,10.23444793,8.369671673,8.097476958,2.932014444,2.143104801,-3.292416997,-7.379983914,-9.750781338,-6.268426665,-1.812354157,20.40924092,58.2064253,128.3839546,267.1676333,471.3744748,800.4753638,1264.896838,1717.525559,2106.622469,2374.99554,2525.301461,2595.423988,2626.097824,2625.795198,2614.72269,2598.856068
A2,-54.29730222,-35.91414476,-18.01563012,-2.819650466,5.358078521,11.7308214,14.08447867,21.98416357,16.60010261,13.80548012,8.433786783,8.604471152,4.379022705,5.164190044,-1.642841072,-4.932401283,-1.502970405,8.402217328,11.01711533,36.43117163,77.89454247,165.9567262,320.1700896,557.3044688,916.8451911,1421.644414,1897.223073,2279.191258,2522.589407,2640.068343,2674.257986,2679.828255,2666.845936,2651.800363,2627.012583
A3,-44.78399452,-27.06284529,-10.4891264,1.241936804,6.110118746,14.35465517,13.70223711,15.14565201,13.85405051,9.681670657,3.537250938,2.956577265,-1.156224236,-0.389257145,-4.61702325,-0.323539529,5.786542204,28.05875397,66.27947663,147.2284315,285.9750205,538.5066063,917.1768166,1379.138283,1818.02905,2185.40716,2446.202002,2605.263557,2694.025104,2736.678719,2752.322784,2755.300261,2756.522596,2748.895832,2735.085682
A4,-49.01062663,-30.36756398,-16.3261713,-3.386242544,6.796975891,9.805025471,13.62906309,18.21079469,15.87242472,13.18129161,7.327541669,6.313589739,3.987670707,0.396505873,-3.040324601,0.162778266,1.786675286,5.703475941,22.16734755,56.8588809,118.03928,243.411255,453.3403451,763.7278749,1237.722372,1721.181657,2161.276732,2471.760951,2638.538338,2701.300854,2713.082964,2705.552582,2693.619694,2677.442348,2659.320112
A5,-57.92380765,-26.94924377,-13.29187253,-0.498003034,9.197442924,11.82068208,14.97302255,16.58223411,15.63940817,12.06789449,6.42446303,0.056075092,-0.379429247,-4.240807427,-6.764705848,-3.41223356,-0.312803872,20.01296999,51.04253266,115.22763,236.1922491,447.3729711,784.5296302,1252.446305,1727.132334,2156.686972,2472.552439,2662.375339,2756.467307,2794.675577,2801.773727,2798.577536,2792.386577,2783.658502,2773.166646
A6,-26.71374772,-5.431963166,-0.997526677,8.745591187,10.15864301,12.03085174,9.4867315,11.42391475,9.169302631,-1.47899128,-6.206374031,-16.51527743,-20.75448436,-27.96835546,-30.43179432,-28.9724276,-27.36955523,-12.67543994,20.72691493,88.95141557,208.6505459,422.2837037,769.1056521,1228.333291,1689.710956,2096.154459,2382.516623,2538.047699,2601.736327,2615.522231,2606.013782,2592.909114,2580.562853,2568.107734,2553.941164
A7,-61.49841655,-27.45662928,-10.98737224,-2.624336645,8.329975025,12.21359639,16.5623201,17.23314959,13.26853353,9.659478858,4.314723533,4.475010252,0.442870277,-5.210336312,-11.15914954,-13.06647411,-11.06618012,-5.144279335,5.115371113,37.0759434,91.65533857,197.7584988,377.7753927,648.5012359,1080.119228,1540.613749,1985.232268,2319.517954,2505.77406,2573.885201,2578.272193,2558.893237,2538.785716,2519.532676,2504.635405
A8,-56.81582419,-30.81176354,-12.01626192,-4.540085207,9.955199155,13.82046973,18.24256633,17.61896534,16.96262408,13.35665491,13.79124363,0.55458501,-2.679196804,-6.151124697,-8.36851678,-4.71774704,-2.005980101,16.54365983,42.75641707,113.2040659,215.5515786,411.4676683,709.3449366,1117.464953,1535.490789,1912.423272,2176.577788,2313.071468,2356.761873,2354.712871,2337.325601,2323.914481,2317.381508,2312.058296,2304.77204
A9,-49.22033079,-27.83064874,-12.57774149,-4.192367561,8.727538952,12.60552954,13.98553761,12.33996351,11.05462882,10.6362703,5.025132445,4.441841609,-0.013222202,-1.347744847,-1.768491753,-2.5056691,0.053365434,11.74731627,34.74690341,88.60241896,181.4026046,349.83575,623.6877788,1028.5173,1468.352708,1896.829087,2233.276571,2438.413585,2537.148552,2569.960895,2570.624478,2561.03033,2549.027797,2537.146586,2524.952157
A10,-51.9871246,-22.18559579,-7.100491673,-0.288532126,2.201481695,9.039607718,13.58023192,11.46340465,13.31454282,10.64477869,7.786250796,3.53848836,1.475887152,2.801658577,-4.373596516,-2.79460046,4.702499657,19.81543627,50.9910766,115.7010312,231.2131645,444.5089924,780.8714845,1260.715689,1759.586018,2219.201074,2558.967907,2754.100782,2840.268931,2863.590542,2858.402874,2847.593135,2834.935851,2820.195991,2803.098511
A11,-24.96272435,-8.769865556,-4.605434661,1.496602246,-0.668186518,8.313985356,6.756844343,8.587631729,9.309267573,6.913952291,8.31263122,4.558568818,2.763403719,-0.356404304,2.157470725,-1.298498299,2.576131217,14.19356421,28.29884409,67.03785004,129.5428305,253.0375399,453.86059,752.6227896,1204.090945,1660.60204,2078.098866,2382.451797,2563.324329,2652.358993,2689.412599,2698.619105,2693.663108,2679.863308,2664.856225
A12,-27.44741378,-14.58026794,-5.766815482,-2.44076837,6.637089827,8.695446604,9.050318663,7.772778669,13.23325995,5.523962504,7.031553415,2.17691875,1.131209806,0.536137374,-0.269995219,-7.08861942,-1.97430256,8.164029313,19.26158798,56.27150663,112.4248709,231.1813385,424.1556009,718.038099,1182.880151,1670.770534,2132.072357,2474.223527,2665.087795,2743.354204,2762.697664,2762.794466,2756.498311,2743.51637,2727.306503
A13,-25.43621104,-10.33635674,-3.9109731,-1.315505231,4.268645573,10.64020324,12.76877737,10.63662719,13.23452503,7.269156094,8.140404572,3.260414352,0.060867635,-1.995498366,-5.123157938,0.043836087,3.328961446,28.0305423,65.06194664,161.0796222,298.8434129,566.6394699,965.4702012,1440.704647,1894.966852,2275.458836,2538.500677,2691.818118,2770.274408,2804.590149,2815.740684,2818.443337,2815.940043,2805.228606,2789.526435
A14,-45.08376481,-21.36828802,-7.101043523,-0.505533798,4.473141321,8.796936701,15.49743326,10.98506966,15.13073213,6.156142561,5.851893853,0.900477761,0.588622743,-2.213347168,-5.985904348,-0.103480326,7.248735744,30.02621229,75.2278189,174.7637695,328.9119812,613.9966805,1036.087287,1529.901962,1998.157502,2390.11573,2672.163527,2848.815823,2951.723498,3004.030741,3028.658421,3040.509838,3041.772484,3033.175616,3018.903231
A15,-33.69126362,-19.48700397,-4.980146441,0.108384035,3.569620161,7.999922525,9.599309136,11.70053883,14.67641555,7.312841624,4.360808892,1.193606025,-0.24839883,-1.16903383,-4.823935538,0.226815226,10.11014212,33.90826575,76.0605437,179.8203401,324.8630106,604.6275308,1012.813444,1474.604395,1904.937937,2250.727337,2487.496434,2625.388026,2699.941289,2735.889759,2749.059282,2756.633561,2755.473153,2749.759931,2739.857751
A16,-53.91769451,-29.92221835,-12.88221204,1.384154692,6.311966838,13.09125517,15.38520353,15.43104343,13.69489016,7.059460416,6.600006199,1.751552722,0.085875164,-3.538844582,-6.847329495,-4.908902229,2.700889602,32.60923488,71.07662765,167.3707681,318.4381887,603.3537879,1023.201725,1514.29249,1989.414507,2405.597811,2716.391092,2925.799145,3054.953749,3127.967514,3161.524459,3174.964996,3175.927357,3167.553698,3152.34179
A17,-50.52862432,-31.68300841,-22.84105051,-16.93469483,-11.73960207,-5.417029386,1.739823315,1.415197369,4.685988575,4.168147007,5.030376206,5.829036129,5.945575735,9.209807744,4.121664847,6.073826702,4.215337015,7.457192049,5.348255224,7.11129071,3.537756135,3.514166421,3.243839673,3.20378631,0.658230824,-1.117902942,1.378882829,-1.03564399,1.798580158,1.984476364,-2.105159405,-0.807053591,-3.377213049,-1.619536163,-7.412893033
