Cycle,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48
1,-0.020737848,-0.025462361,-0.04416191,-0.02942601,0.015528891,0.023399105,-0.02781387,0.003810077,0.036773743,0.032788208,0.098512305,-0.007631531,0.052116075,0.030023323,0.055819466,0.047954598,-0.021094487,0.037722372,-0.022037284,0.010325852,0.018219113,0.028007449,-0.001508955,0.004528795,0.05642167,-0.01922169,-0.004941534,-0.021758403,-0.007358766,-0.010818812,0.001177905,0.09806856,0.099632965,0.096940385,-0.019167018,-0.012338249,-0.140303237,0.008793949,0.003930161,-0.016049295,0.094375665,0.089479385,-0.016370915,-0.002206417,0.100009025,-0.030373345,-0.003077766,0.20386877
2,-0.004264904,-0.00963822,-0.025736215,-0.017440804,0.025434404,0.030738057,-0.015642589,0.007393608,0.040089008,0.032354043,0.126591472,-0.001300511,0.051121229,0.029012961,0.051288874,0.049345662,-0.007545897,0.043752513,-0.008808827,0.023822572,0.022615572,0.030242117,0.005312168,0.01126388,0.057197653,-0.007310345,0.003821838,-0.009949556,0.00447762,-0.003581844,0.01038971,0.108848893,0.121945798,0.125270218,-0.011496216,-0.002840762,-0.077033473,0.025729093,0.010918374,-0.004354498,0.116437832,0.113797885,-0.004381983,0.004830694,0.125831525,-0.017476209,0.000971943,0.189376857
3,0.009199541,0.010448087,-0.001042853,-0.000942931,0.04436525,0.043592676,0.009064192,0.020002473,0.049922606,0.031167879,0.171217138,0.007788509,0.049374383,0.036777099,0.049014614,0.056503059,0.014777194,0.054044821,0.017957797,0.046846125,0.022248698,0.038995119,0.016896791,0.026523131,0.062235636,0.016634834,0.023365544,0.010634125,0.024838172,0.010925624,0.030381848,0.124893893,0.157044465,0.170397218,0.006954919,0.017687725,-0.023290376,0.047678237,0.023171253,0.019123466,0.158054832,0.153910552,0.021145115,0.01913847,0.169454192,0.007454594,0.015551151,0.161096111
4,0.012134319,0.019503394,0.014625175,0.008534943,0.040732763,0.039900295,0.016221306,0.015062337,0.044212538,0.030483048,0.206316138,0.011863196,0.03860187,0.030000571,0.037213688,0.046110789,0.023061285,0.049294796,0.024166421,0.052822012,0.024889824,0.034711454,0.02196308,0.026238383,0.048220286,0.024033345,0.027866917,0.020688139,0.028150391,0.022926092,0.034829985,0.12790256,0.163562798,0.190453552,0.013873721,0.020666878,0.031455387,0.046061381,0.018877466,0.025553763,0.177108498,0.169955552,0.025111547,0.026927914,0.202045858,0.020853063,0.017093692,0.089192698
5,0.004038097,0.010006701,0.009735203,0.001466482,0.023562277,0.019661581,0.008837754,0.002099535,0.02646847,0.020772883,0.218851472,-0.001611451,0.016798358,0.019212375,0.011373428,0.026191853,0.016303042,0.030505104,0.018341378,0.041749898,0.009981616,0.020399455,0.01248837,0.018432635,0.025680602,0.019397857,0.017827623,0.016201152,0.02043161,0.023394227,0.026241457,0.127401227,0.156543132,0.195968885,0.01427419,0.019133365,0.021017817,0.027897859,0.000544012,0.016941726,0.186635165,0.170958218,0.016542645,0.025692024,0.216586858,0.018206199,0.014123567,0.006258285
6,0.006471542,0.008532342,0.014873565,0.005930355,0.016420123,0.0124592,0.008975201,-0.005347601,0.012234069,0.016076719,0.231386805,-0.001548097,0.006025845,0.011432847,-0.007948498,0.012289916,0.012051799,0.015225078,0.016527668,0.033686118,0.007608742,0.011603124,0.009531993,0.015640886,0.009157919,0.016768036,0.010295328,0.016728166,0.018729829,0.029378029,0.021664594,0.134420893,0.148019132,0.198977552,0.012167659,0.013588519,0.032140914,0.020264003,-0.006256775,0.016352357,0.194156498,0.174468218,0.010982077,0.027464468,0.227617858,0.017064001,0.016668776,-0.056619794
7,0.008403653,0.008561982,0.018507593,0.010394229,0.014793303,0.007764152,0.013124315,-0.007279403,0.002512334,0.010879221,0.243922138,-0.002487744,0.000267666,0.009168652,-0.021253758,0.00540798,0.01331589,0.004959386,0.017722292,0.028129004,0.007743201,0.007319459,0.009082615,0.020871805,-0.002852098,0.015141215,0.004768701,0.015750847,0.017529715,0.028843163,0.022603066,0.148460227,0.144509132,0.202988885,0.011063461,0.014060672,0.035241344,0.017142813,-0.009045896,0.016263987,0.202179165,0.180485218,0.005923175,0.026228245,0.232631858,0.01692447,0.018712984,-0.085903207
8,0.001811764,0.001571956,0.017127621,0.013855102,0.011161149,0.004573105,0.01276043,-0.012219539,-0.008212068,0.00066739,0.255454472,-0.001421723,-0.005991846,0.002893456,-0.027539351,-0.00648829,0.008562981,-0.010821639,0.011897249,0.017056557,0.006874994,0.00504146,0.012143238,0.01607439,-0.020878782,0.00950306,0.002250407,0.010260861,0.010813934,0.025299965,0.02003187,0.155981227,0.141500465,0.201484885,0.005947929,0.008014492,0.033829108,0.00900729,-0.012838017,0.01517295,0.209199165,0.184997885,-0.00064006,0.016969688,0.237144525,0.013776606,0.013736859,-0.092623287
9,-0.002273125,0.00059893,0.015246316,0.014809308,-0.001998004,-0.007141609,0.007883877,-0.016157008,-0.018434803,-0.004028774,0.265482805,-0.005369703,-0.015260025,-0.007393072,-0.03232061,-0.01938756,0.002305738,-0.024095664,0.003565206,0.001471444,0.001995453,-0.000244872,0.010189528,0.007265641,-0.036398799,0.006873572,0.001737779,0.009784874,0.01011482,0.023762099,0.014953341,0.161496893,0.144509132,0.203991885,0.007350731,0.009990979,0.033419871,0.000370434,-0.016128804,0.011073247,0.217221832,0.187504885,-0.006200295,0.010719465,0.241657192,0.012132742,0.011268067,-0.090819033
10,-0.00936668,-0.006391096,0.009353345,0.008743848,-0.019669824,-0.018856324,0.002505658,-0.017587477,-0.029660537,-0.013237938,0.270496805,-0.007312016,-0.022522538,-0.015673934,-0.03609887,-0.029278496,-0.004954171,-0.037871356,-0.003262837,-0.014113336,-0.004388422,-0.007035537,0.010241484,-0.006055774,-0.048408816,0.002238417,0.000723818,0.000785221,0.000390373,0.014703234,0.006365146,0.165508227,0.148019132,0.205997552,0.005745533,0.006451799,0.025990634,-0.013782088,-0.018416924,0.007475211,0.227751498,0.189009218,-0.012763863,-0.001046091,0.243161525,0.004973544,0.002280942,-0.091020779
11,8.64314E-05,0.002664211,0.01599604,0.015213388,-0.021296645,-0.014525704,0.009663106,-0.004978612,-0.022333939,-0.007404436,0.289550472,0.002278337,-0.018252717,-0.013926796,-0.028344796,-0.025631099,0.000321253,-0.037607382,0.00194312,-0.017163117,0.001762704,-0.004800535,0.01380344,-0.001827855,-0.046379167,0.006127262,0.007732191,0.008332235,0.008215592,0.015171035,0.00680195,0.17804356,0.162560132,0.218031218,0.011661335,0.01143662,0.034606731,-0.013894611,-0.008169712,0.009392841,0.242793832,0.202547218,-0.007293098,-0.001279315,0.256198192,0.007842347,0.00432515,-0.082698525
12,-0.005502791,-0.001317148,0.010604734,0.010150594,-0.029943131,-0.016713752,0.003783887,-0.001896415,-0.026038674,-0.012602267,0.297573138,0.00585169,-0.022506563,-0.018697991,-0.027610389,-0.032012036,-0.00493299,-0.044363074,-0.000873589,-0.027733897,-0.00061017,-0.012092867,0.005833063,-0.00562227,-0.047859184,-0.001516559,0.00320823,0.004848249,0.003004144,0.00460817,-0.003792245,0.18055056,0.168577132,0.220538218,0.006044804,0.00438744,0.031188828,-0.023032801,-0.006947832,-0.000723529,0.246303498,0.206558552,-0.009343667,-0.005022538,0.258705525,0.001685816,-0.001151975,-0.083903271
13,-0.010590679,-0.007304174,0.002205096,0.003583467,-0.035580952,-0.022411466,-0.004602332,0.001185783,-0.028740408,-0.020306765,0.305094472,0.000901044,-0.030270409,-0.024471853,-0.031388649,-0.040899972,-0.009685899,-0.051620099,-0.009205632,-0.039307677,-0.009000044,-0.020387865,-0.003641648,-0.012425352,-0.051345201,-0.00916038,-0.001817397,-0.000641737,-0.00521597,-0.006456362,-0.015890441,0.181052227,0.177602465,0.221039552,-0.003081727,-0.00416574,0.027269591,-0.028159657,-0.006227286,-0.009837232,0.248810498,0.212575552,-0.012898235,-0.014782427,0.263218192,-0.003468048,-0.0086351,-0.082099351
14,-0.020191235,-0.018305534,-0.009704542,-0.00799766,-0.046233105,-0.035129181,-0.013991551,-0.000746019,-0.041470477,-0.033025596,0.304593138,-0.010066603,-0.039036921,-0.032251382,-0.035668241,-0.048785242,-0.017948809,-0.056370458,-0.022050675,-0.052887124,-0.023406585,-0.031189863,-0.013618025,-0.0237411,-0.051321218,-0.017806868,-0.012859692,-0.013653057,-0.020455751,-0.018523561,-0.028991303,0.183559227,0.184622132,0.221039552,-0.014715259,-0.01472492,0.014826022,-0.038802179,-0.00901674,-0.019953602,0.253824498,0.213578552,-0.017456137,-0.023539651,0.260209858,-0.010125912,-0.018123892,-0.080796764
15,-0.013746457,-0.017272893,-0.007574847,-0.009550787,-0.044851259,-0.038821228,-0.011848437,0.006848845,-0.038155211,-0.03521476,0.315624138,-0.014014582,-0.036772767,-0.028498577,-0.031424168,-0.045639179,-0.013676051,-0.051593816,-0.024867385,-0.052928571,-0.028787792,-0.031963528,-0.011560402,-0.028037182,-0.045280568,-0.017428023,-0.011366986,-0.018641709,-0.024163198,-0.020061426,-0.031562498,0.19509156,0.202171465,0.231569218,-0.016320457,-0.015255766,0.010405118,-0.040419035,-0.002780861,-0.017033305,0.269368165,0.225111218,-0.014994038,-0.027783874,0.264220858,-0.00826011,-0.023099684,-0.07147151
