Cycle,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48
1,-0.004818362,0.09317968,0.091644115,0.049164519,0.11191042,0.022560622,0.045360053,0.014631249,0.346094094,0.286062111,0.294871119,0.274666098,0.348443579,0.226289275,0.266627367,0.229339503,0.286453518,0.252978503,0.226640598,0.23512208,0.085807872,0.146358624,0.14742709,0.250610202,0.214809491,0.5207409,0.5097031,0.61280062,0.57691143,0.60133146,0.52041468,0.6226367,0.28037721,0.20799088,0.017781711,0.13762165,-0.008313032,0.57753453,0.6437192,0.58103609,0.24705502,0.2364172,0.42164847,0.64776986,0.49531147,0.38362369,0.40489876,0.180267001
2,-0.004392306,0.100845013,0.100051282,0.04255021,0.112157587,0.014635119,0.036147495,0.01077703,0.317541966,0.272158185,0.277816751,0.258251776,0.323130102,0.229919754,0.247791432,0.227395565,0.27159862,0.241891865,0.217384368,0.230316071,0.061700876,0.099708969,0.11694764,0.198775663,0.202704568,0.509861067,0.4993176,0.596480453,0.55836593,0.58946246,0.506814847,0.5991457,0.242297377,0.177576213,0.007241626,0.117345317,-0.002350241,0.548603697,0.618497533,0.560265257,0.21120052,0.237406367,0.416208637,0.62155886,0.49877347,0.392525523,0.407123927,0.184008097
3,0.007408416,0.123099347,0.122305615,0.049288733,0.123037587,0.02649145,0.033858438,0.020769644,0.263768006,0.247868926,0.239744382,0.222055955,0.275561958,0.2387429,0.209668163,0.218528127,0.237703554,0.227837727,0.200462638,0.21710273,0.035863047,0.055284813,0.059762524,0.116032125,0.176752312,0.485628067,0.482502933,0.567796787,0.527704263,0.574626127,0.480603847,0.556120033,0.187897377,0.134056213,-0.003051458,0.095090983,0.010288883,0.492225697,0.5734942,0.51427259,0.166691187,0.240868367,0.398405303,0.57803886,0.511137137,0.407361857,0.414047593,0.190221692
4,0.005361805,0.131012013,0.128240282,0.035750924,0.118092253,0.013620447,0.020194713,0.014937258,0.175375712,0.186983334,0.158152014,0.144318134,0.186452148,0.211959047,0.132475894,0.164162355,0.167706822,0.174714922,0.140515575,0.163336722,0.02387255,0.013827991,0.002577408,0.033288587,0.111236722,0.429250067,0.433542933,0.51191312,0.457973263,0.525171793,0.423236847,0.481938367,0.14190471,0.11476888,-0.009388209,0.088167317,0.01056434,0.40716403,0.5126652,0.44998159,0.119214853,0.2250427,0.346972637,0.513253527,0.489871803,0.386590857,0.386352927,0.155388287
5,0.008260527,0.13348468,0.133680282,0.028147781,0.116114253,0.014102444,0.006036656,0.012071872,0.062256084,0.103348742,0.052326978,0.043831313,0.061735005,0.16588786,0.035501625,0.082596917,0.069026424,0.100326451,0.041004845,0.07495238,0.017816721,-0.002901498,-0.029386041,-0.010880284,0.030390133,0.3516064,0.368262933,0.43377512,0.365493597,0.454451793,0.34658218,0.3924257,0.128552043,0.113285213,-0.008801293,0.089650983,-0.001029203,0.30083703,0.4429342,0.36096359,0.10190552,0.201304367,0.26833997,0.44451186,0.463660803,0.346532523,0.349756927,0.101267549
6,0.005224916,0.134474013,0.139614948,0.025489971,0.120565253,0.020024108,-0.002681402,0.008712152,-0.056797876,0.000921483,-0.051520057,-0.049731842,-0.060014805,0.090638673,-0.046635978,-0.011826854,-0.035588308,-0.000767354,-0.056032885,-0.024806294,0.017695225,-0.015179987,-0.029698157,-0.021914823,-0.032158123,0.2571484,0.275782933,0.323491787,0.251748263,0.351092127,0.254596847,0.275713367,0.128057377,0.11377988,-0.006730711,0.090639983,-0.009160746,0.195004363,0.3514432,0.25463659,0.096960187,0.175093367,0.192674637,0.357966527,0.416679137,0.271361523,0.29288426,0.015990811
7,-0.002261695,0.13150668,0.142087615,0.013435828,0.109190587,0.010615105,-0.020795793,-0.005033234,-0.144695504,-0.106451109,-0.127672426,-0.117084329,-0.142695616,-0.020217848,-0.099101247,-0.091414292,-0.119432041,-0.093948826,-0.127354614,-0.111212303,0.007682729,-0.031909476,-0.031988607,-0.040861694,-0.073935713,0.174064733,0.176379267,0.201833787,0.15234493,0.222015793,0.158160513,0.1515827,0.119650377,0.111307213,-0.008121795,0.08470565,-0.026194289,0.10944803,0.233741533,0.154243923,0.09102552,0.1389917,0.12739497,0.25114486,0.356839137,0.181848857,0.211778927,-0.078682593
8,-0.001835639,0.143870347,0.156429615,0.011767019,0.10869592,0.004667769,-0.028030184,-0.00690962,-0.171269798,-0.159918368,-0.152886461,-0.134487484,-0.161085426,-0.119205368,-0.109529849,-0.127482063,-0.153821439,-0.14212663,-0.137847344,-0.147174644,0.005088566,-0.041220631,-0.028344723,-0.051895899,-0.080105969,0.1330174,0.1150556,0.12864112,0.104868597,0.13893246,0.10524418,0.090259367,0.109759377,0.113780213,0.000377788,0.092618317,-0.024435165,0.08521503,0.145712533,0.100832923,0.092014853,0.111297367,0.10662397,0.160643193,0.281173803,0.117063523,0.13858626,-0.139232331
9,-0.007838916,0.141892013,0.157913282,-0.006716458,0.09336492,-0.011170234,-0.039220908,-0.007302339,-0.168666092,-0.180251293,-0.157824163,-0.139032972,-0.166122569,-0.186541889,-0.115507785,-0.135360501,-0.159527505,-0.156675102,-0.133998407,-0.152475319,-0.00986893,-0.057455787,-0.031624506,-0.06985377,-0.088748892,0.121643067,0.086372267,0.093033787,0.089537597,0.09442346,0.085956847,0.086303033,0.094923043,0.10537288,-0.00299163,0.089650983,-0.027621708,0.099062363,0.0952692,0.08797459,0.08608052,0.083108367,0.09327097,0.098330527,0.193639137,0.08590719,0.08962626,-0.158735069
10,-0.009391194,0.146343013,0.166815282,-0.014814267,0.092870587,-0.015139237,-0.043982299,-0.004233059,-0.163095052,-0.172395219,-0.153860198,-0.137643459,-0.167203379,-0.199973076,-0.114067387,-0.129391606,-0.156331903,-0.15193624,-0.12223647,-0.142444994,-0.01790276,-0.066272609,-0.033914955,-0.083855642,-0.092940814,0.116697733,0.0883506,0.095506453,0.088548263,0.09541246,0.08991318,0.120921033,0.090472043,0.093009213,-0.000426714,0.093607317,-0.017455251,0.123789697,0.086861867,0.09044759,0.08509152,0.078657367,0.08980897,0.085472193,0.12489747,0.082445523,0.084680927,-0.150048474
