Cycle,1,2,3,4,5,6,7,8,9,10,11,12,13,14
1,0.40985227,0.59365291,0.20535706,0.50971576,0.215078372,0.57074501,0.60342875,0.49245258,0.6483536,0.271900659,0.46134417,0.57255756,0.4355684,0.194835914
2,0.40192877,0.59018641,0.218975227,0.50525876,0.214803929,0.562078843,0.590058083,0.48948158,0.636220933,0.269573721,0.454411337,0.564386727,0.424426233,0.204583575
3,0.39251977,0.58275841,0.245221227,0.494859427,0.214282152,0.551184177,0.564307417,0.48700558,0.621364933,0.262789949,0.444012003,0.544083393,0.408084233,0.208388902
4,0.35389377,0.535713743,0.240268893,0.44335776,0.171667376,0.514538843,0.513796417,0.45085558,0.578281933,0.224312844,0.408852337,0.499514727,0.370448567,0.183471896
5,0.294964437,0.46489941,0.221450893,0.377000427,0.107758933,0.454618843,0.443972417,0.396877913,0.5218286,0.165037072,0.35685567,0.437118727,0.319442233,0.138746557
6,0.209789103,0.36437241,0.19619556,0.284397093,0.014633157,0.35458751,0.347902417,0.308731247,0.446557267,0.082981634,0.286041003,0.35392406,0.242685233,0.079165218
7,0.136498437,0.24156141,0.173416227,0.197736093,-0.061159953,0.23920451,0.23648075,0.209194913,0.3608866,-0.019872471,0.20334167,0.252406727,0.171375567,0.004232546
8,0.093415437,0.14846241,0.151132227,0.13038776,-0.114669063,0.14561051,0.145858083,0.130457247,0.255902933,-0.122231242,0.136984003,0.160793393,0.1144269,-0.091498793
9,0.085987103,0.098446743,0.126866893,0.103151427,-0.126085506,0.10005151,0.101289417,0.098764247,0.1662706,-0.193391681,0.096872337,0.10681606,0.093628233,-0.167422132
10,0.088958437,0.099437077,0.10953456,0.10364676,-0.127102949,0.094604177,0.09237575,0.101240247,0.111797933,-0.210574786,0.089939337,0.093445393,0.083724233,-0.209671138
11,0.085492103,0.096466077,0.09517356,0.10364676,-0.122672725,0.09708051,0.096337417,0.102725913,0.0994176,-0.204483224,0.09340567,0.098397727,0.084219567,-0.209332477
